lasso_1_5   0712_132458:     Test acc: 68.19999987792968

lasso_1_10   0712_133520:     Test acc: 81.2000001220703

lasso_1_15   0712_134706:     Test acc: 87.00000042724609

lasso_1_20   0712_135748:     Test acc: 90.39999987792969

lasso_1_25   0712_140821:     Test acc: 90.19999969482421

lasso_1_30   0712_141848:     Test acc: 91.99999896240234

lasso_2_5   0712_142909:     Test acc: 70.79999951171875

lasso_2_10   0712_143922:     Test acc: 78.19999945068359

lasso_2_15   0712_144933:     Test acc: 84.20000048828125

lasso_2_20   0712_150000:     Test acc: 86.19999975585938

lasso_2_25   0712_151035:     Test acc: 87.60000024414063

lasso_2_30   0712_152117:     Test acc: 90.00000042724609

lasso_3_5   0712_155116:     Test acc: 62.399999755859376

lasso_3_10   0712_162357:     Test acc: 71.39999896240235

lasso_3_15   0712_165835:     Test acc: 82.80000030517579

lasso_3_20   0712_173414:     Test acc: 84.2000001220703

lasso_3_25   0712_181153:     Test acc: 84.40000012207031

lasso_3_30   0712_190014:     Test acc: 82.80000030517579

lasso_4_5   0712_191251:     Test acc: 44.000000213623046

lasso_4_10   0712_192537:     Test acc: 67.99999969482423

lasso_4_15   0712_193836:     Test acc: 80.99999945068359

lasso_4_20   0712_195145:     Test acc: 82.40000030517578

lasso_4_25   0712_200458:     Test acc: 86.59999993896484

lasso_4_30   0712_201833:     Test acc: 86.39999938964844

lasso_5_5   0712_203552:     Test acc: 43.59999963378906

lasso_5_10   0712_205344:     Test acc: 45.59999981689453

lasso_5_15   0712_212145:     Test acc: 66.99999896240234

lasso_5_20   0712_215659:     Test acc: 77.19999993896485

lasso_5_25   0712_222158:     Test acc: 81.40000012207031

lasso_5_30   0712_224307:     Test acc: 85.39999938964844

lasso_6_5   0712_231537:     Test acc: 57.399999572753906

lasso_6_10   0712_235050:     Test acc: 66.2000005493164

lasso_6_15   0713_002943:     Test acc: 69.39999932861328

lasso_6_20   0713_010817:     Test acc: 70.00000042724609

lasso_6_25   0713_014627:     Test acc: 70.79999914550781

lasso_6_30   0713_022806:     Test acc: 75.40000018310546

lasso2_1_5   0713_023756:     Test acc: 57.000000091552735

lasso2_1_10   0713_024755:     Test acc: 68.79999932861328

lasso2_1_15   0713_025800:     Test acc: 77.59999908447266

lasso2_1_20   0713_030807:     Test acc: 84.19999938964844

lasso2_1_25   0713_031827:     Test acc: 86.39999920654297

lasso2_1_30   0713_032856:     Test acc: 87.19999920654297

lasso2_2_5   0713_033902:     Test acc: 49.80000015258789

lasso2_2_10   0713_034901:     Test acc: 62.19999896240235

lasso2_2_15   0713_035908:     Test acc: 69.99999914550781

lasso2_2_20   0713_040936:     Test acc: 73.59999926757813

lasso2_2_25   0713_042009:     Test acc: 80.20000048828125

lasso2_2_30   0713_043043:     Test acc: 84.39999957275391

lasso2_3_5   0713_050030:     Test acc: 49.39999984741211

lasso2_3_10   0713_053222:     Test acc: 72.20000006103515

lasso2_3_15   0713_060705:     Test acc: 76.00000054931641

lasso2_3_20   0713_064255:     Test acc: 77.6

lasso2_3_25   0713_072144:     Test acc: 78.00000054931641

lasso2_3_30   0713_080445:     Test acc: 79.00000036621094

lasso2_4_5   0713_082026:     Test acc: 35.39999996948242

lasso2_4_10   0713_083538:     Test acc: 57.800000122070315

lasso2_4_15   0713_084956:     Test acc: 69.39999987792969

lasso2_4_20   0713_090415:     Test acc: 74.00000036621094

lasso2_4_25   0713_091942:     Test acc: 78.40000048828125

lasso2_4_30   0713_093620:     Test acc: 80.80000012207032

lasso2_5_5   0713_095454:     Test acc: 32.79999978637695

lasso2_5_10   0713_101222:     Test acc: 51.99999942016601

lasso2_5_15   0713_103154:     Test acc: 61.19999938964844

lasso2_5_20   0713_104836:     Test acc: 68.39999987792969

lasso2_5_25   0713_110712:     Test acc: 76.60000018310546

lasso2_5_30   0713_112624:     Test acc: 76.39999981689454

lasso3_4_30   0713_113825:     Test acc: 86.39999938964844

lasso3_5_5   0713_115646:     Test acc: 51.60000015258789

lasso2_6_5   0713_115713:     Test acc: 44.59999963378906

lasso4_3_5   0713_115808:     Test acc: 70.80000042724609

lasso2_6_25   0713_115834:     Test acc: 61.1999997253418

lasso4_3_5   0713_115905:     Test acc: 70.80000042724609

lasso3_5_10   0713_121448:     Test acc: 66.99999969482423

lasso3_5_15   0713_123252:     Test acc: 72.59999914550781

lasso2_6_30   0713_123532:     Test acc: 64.59999951171875

lasso4_3_10   0713_123539:     Test acc: 76.99999981689453

lasso4_3_10   0713_123759:     Test acc: 76.99999981689453

lasso3_1_5   0713_124843:     Test acc: 62.400000091552734

lasso3_5_20   0713_125101:     Test acc: 74.19999981689453

lasso3_1_10   0713_130139:     Test acc: 81.79999926757813

lasso2_1_10   0713_130344:     Test acc: 64.89999978637695

lasso3_5_25   0713_130841:     Test acc: 77.19999945068359

lasso4_3_15   0713_131205:     Test acc: 80.79999938964843

lasso2_6_10   0713_131307:     Test acc: 56.99999957275391

lasso3_1_15   0713_131438:     Test acc: 86.19999957275391

lasso4_3_15   0713_131542:     Test acc: 80.79999938964843

lasso2_1_20   0713_131644:     Test acc: 82.79999975585937

